area,class,sail,name,type
Cornfield Point,Class 1 PHRF - NS,USA 41437,Celebration (II),Tripp 37
Cornfield Point,Class 1 PHRF - NS,USA 25567,Iris,Sabre 426
Cornfield Point,Class 2 PHRF - DH,USA 0037,Chikara,Cal 28-2
Cornfield Point,Class 2 PHRF - DH,USA 84,Triton,Tartan 34-2
Cornfield Point,Class 3 PHRF,USA 35,Bonne Santé,Jeanneau 350
Cornfield Point,Class 3 PHRF,USA 1937,Golden-Eye,Rhodes
Cornfield Point,Class 3 PHRF,USA 20684,NemO,Tartan 30
Cornfield Point,Class 3 PHRF,USA 67,Pazuzu,Seascape 27
Cornfield Point,Class 3 PHRF,USA 138,Roo,C&C 33-2
Cornfield Point,Class 3 PHRF,USA 60141,Veronique,Beneteau First 345
Seaflower Reef,Class 4 PHRF - DH,USA 52386,Eclipse,Sabre 386
Seaflower Reef,Class 4 PHRF - DH,USA 40819,First Rate,Tartan 34-2
Seaflower Reef,Class 4 PHRF - DH,USA 22,Velocity2,J/99
Seaflower Reef,Class 5 PHRF,USA 42979,Sapphire,J 35
Seaflower Reef,Class 5 PHRF,USA 2608,Scorpios,GP26
Seaflower Reef,Class 5 PHRF,USA 20802,Shooting Star,Peterson 34
Seaflower Reef,Class 5 PHRF,USA 007,Skyfall,C&C 99
Vineyard,Class 7 ORC - DH,USA 61668,Eventyr,J/99
Vineyard,Class 7 ORC - DH,USA 326,SLEEPER YCC,J/105
Vineyard,Class 7 ORC - DH,USA 15833,Stratos,Sun Fast 3300
Vineyard,Class 6 PHRF - DH,USA 25559,Abilyn,J 120
Vineyard,Class 6 PHRF - DH,USA 075,Halve Maen,Tartan 33
Vineyard,Class 6 PHRF - DH,USA 61565,Liberty,Pogo 36
Vineyard,Class 6 PHRF - DH,USA 511,Midnight Rider - PMP Strategy,J/30
Vineyard,Class 6 PHRF - DH,USA 167,Save the Sound,J/99
Vineyard,Class 6 PHRF - DH,USA 37,Sunny Side,J/109
Vineyard,Class 6 PHRF - DH,USA 146,Young American,J 105
Vineyard,Class 8 PHRF,USA 1543,ARGOS,Dufour 44
Vineyard,Class 8 PHRF,USA 114,Cathexis,X-382
Vineyard,Class 8 PHRF,USA 61764,Condor,Bowman Corsair
